stockName,OpenPrice,HighPrice,LowPrice,date
DIVISLAB,3702.00,3786.95,3690.00,17-Aug-2021
JSWSTEEL,575.55,593.75,574.60,04-Jul-2022
HINDUNILVR,2464.00,2519.35,2461.40,15-Jun-2022
CIPLA,940.45,958.90,932.15,09-Aug-2021
GRASIM,1391.80,1406.20,1388.30,12-Aug-2021
ASIANPAINT,2949.00,2968.95,2926.05,09-Jun-2022
SUNPHARMA,854.60,863.25,849.35,09-Feb-2022
KOTAKBANK,1724.00,1745.95,1723.40,11-Aug-2021
NTPC,147.75,149.35,147.50,03-Feb-2022
TATACONSUM,758.00,768.00,757.00,09-Jun-2022
POWERGRID,214.50,216.70,213.45,16-Feb-2022
INFY,1450.00,1460.00,1438.60,31-May-2022
NESTLEIND,18130.00,18324.90,18130.00,21-Apr-2022
BPCL,312.00,315.40,309.50,10-Feb-2022
ITC,293.00,294.80,292.70,26-May-2022
MARUTI,8454.00,8488.15,8381.00,05-Aug-2021
HINDALCO,346.00,351.90,344.00,12-Aug-2021
DRREDDY,4494.50,4534.70,4450.00,11-Jul-2022
SBILIFE,1145.45,1150.80,1137.60,29-Mar-2022
SBIN,487.75,492.45,484.55,25-May-2022
